record_id,award_tier_normalized,archetype,extract_quality,coder_id,problem_decomposition,assumptions_symbols,method_rationale,data_cleaning,baseline_or_control,solution_trace,validation_error,sensitivity_uncertainty,innovation_type,result_interpretation,reproducibility,limitations,abstract_structure,figure_role,citation_hygiene,notes
2022-A22100070190,first,signal-inverse,ok,first-pass-single,3,2,3,1,3,3,3,3,algorithm,3,2,1,3,3,2,Rejects FBSS; compares DOA estimators; SNR robustness. Quote: extract around method comparison.
2022-B22103360018,first,optimization-scheduling,ok,first-pass-single,3,3,2,2,2,3,2,1,algorithm,3,3,1,3,2,2,Reports utilization and runtime per dataset; complexity note; greedy heuristic + clustering. Weak explicit sensitivity.
2022-C22103190082,first,optimization-scheduling,ok,first-pass-single,3,2,3,1,3,3,3,3,algorithm,3,2,1,3,2,2,Second attachment + naive all-lane-4 policy as control; GA with heuristic init.
2022-D22102930009,first,evaluation-decision,ok,first-pass-single,3,2,2,1,2,2,2,2,modeling,2,2,1,3,2,2,First-prize D cell; coded from extract structure; not a second independent coder.
2022-E22103350038,first,mechanism-plus-data,ok,first-pass-single,3,3,3,3,3,3,3,3,modeling,3,2,2,3,3,2,Strongest discriminator in this pass: Woodward RMSE 513 vs 221; perturbation 63.91% vs 10.37%; 80/20 split.
2022-F22100090053,first,mechanism-plus-data,ok,first-pass-single,3,2,2,2,2,2,2,1,application,3,2,1,3,3,2,Compares vegetable-pack vs actual epidemic curves; VRP vs original allocation. Sensitivity thinner than 2022-E.
2023-A23100070049,first,signal-inverse,ok,first-pass-single,3,2,3,1,3,3,3,2,modeling,3,3,2,3,3,3,Extends Bianchi; names hidden/exposed terminals; writes a DES rather than a verbal simulation.
2023-B23103360062,first,optimization-scheduling,ok,first-pass-single,3,2,2,1,2,2,2,2,algorithm,2,2,1,3,2,2,First-prize B cell; single-coder; extract supports per-question narrative.
2023-C23102980125,first,evaluation-decision,ok,first-pass-single,3,3,3,3,3,3,3,2,modeling,3,2,2,3,3,2,NSGA-II assignment; standard-score models vs existing model; 重合度/乱序度 vs stage-2 consensus.
2023-D23100060041,first,evaluation-decision,ok,first-pass-single,3,3,2,1,2,2,2,2,modeling,3,2,2,3,2,2,Scenario assumptions (GDP/carbon); ARIMA/grey mix. Coded medium confidence.
2023-E23102550019,first,prediction-diagnosis,garbled-extract,first-pass-single,2,1,1,1,1,1,2,1,modeling,2,1,0,2,1,1,pypdf text is mojibake; do not over-interpret. Mentions K-means and R values in damaged extract.
2023-F23102520378,first,image-spatial,ok,first-pass-single,3,2,3,2,3,3,3,3,algorithm,3,2,2,3,3,2,U-Net vs ConvLSTM CSI/POD/FAR; noise-before/after radar figure; sensitivity of polarimetric fusion.
2022-E22100160013,participation,mechanism-plus-data,ok,first-pass-single,3,2,1,1,1,2,1,0,application,2,1,1,2,2,2,Same 2022-E cell as first-prize paper. Has 问题重述 and LSTM but weak baseline/perturbation story.
2024-control-C24102910010,participation,prediction-diagnosis,ok,first-pass-single,3,2,2,2,2,2,2,1,modeling,2,1,1,3,2,1,Author-posted; Steinmetz correction + RF. Not a matched 2022-2023 control. MSE/R2 without a clear hold-out protocol in the abstract.
2025-control-C25102910007,second,image-spatial,ok,first-pass-single,3,2,2,2,2,3,3,2,modeling,3,2,1,3,3,2,Author-posted second prize. JRC/RMSE/accuracy present. Longitudinal case; not a 2022-2023 matched control.
