record_id,dimension,human,heuristic,delta
2022-A22100070190,result_interpretation,3,1,-2
2022-B22103360018,validation_error,2,0,-2
2022-D22102930009,validation_error,2,0,-2
2022-D22102930009,sensitivity_uncertainty,2,0,-2
2022-D22102930009,abstract_structure,3,1,-2
2022-F22100090053,problem_decomposition,3,1,-2
2022-F22100090053,result_interpretation,3,1,-2
2023-A23100070049,sensitivity_uncertainty,2,0,-2
2023-B23103360062,sensitivity_uncertainty,2,0,-2
2023-B23103360062,citation_hygiene,2,0,-2
2023-C23102980125,sensitivity_uncertainty,2,0,-2
2023-D23100060041,sensitivity_uncertainty,2,0,-2
2023-E23102550019,problem_decomposition,2,0,-2
2023-E23102550019,abstract_structure,2,0,-2
2023-F23102520378,result_interpretation,3,1,-2
2022-E22100160013,method_rationale,1,3,2
2024-control-C24102910010,sensitivity_uncertainty,1,3,2
