record_id,award_tier_normalized,archetype,extract_quality,coder_id,extract_chars,problem_decomposition,assumptions_symbols,method_rationale,data_cleaning,baseline_or_control,solution_trace,validation_error,sensitivity_uncertainty,result_interpretation,reproducibility,limitations,abstract_structure,figure_role,citation_hygiene,innovation_type
2022-A22100070190,first,signal-inverse,ok,heuristic-v1,29780,3,3,3,2,3,3,3,3,1,2,2,3,3,2,algorithm
2022-A22100130054,first,signal-inverse,ok,heuristic-v1,21764,1,0,0,1,0,2,3,3,1,1,2,1,0,0,algorithm
2022-A22107010047,first,signal-inverse,ok,heuristic-v1,41237,3,3,2,2,2,3,2,2,2,2,2,3,3,2,algorithm
2022-A22116460175,first,signal-inverse,ok,heuristic-v1,20687,3,3,1,1,0,3,2,3,2,2,2,3,3,2,algorithm
2022-B22103360018,first,scheduling-allocation,ok,heuristic-v1,41623,3,3,2,2,2,3,0,0,2,2,2,3,3,2,algorithm
2022-B22104870143,first,scheduling-allocation,ok,heuristic-v1,42928,3,3,2,1,3,3,2,0,2,2,2,3,3,2,algorithm
2022-B22105300030,first,scheduling-allocation,ok,heuristic-v1,51869,3,3,2,1,2,3,0,0,1,2,2,3,3,2,algorithm
2022-B22110490001,first,scheduling-allocation,ok,heuristic-v1,34547,3,3,2,2,3,3,2,0,1,2,2,3,3,2,algorithm
2022-C22103190082,first,scheduling-allocation,ok,heuristic-v1,28324,3,3,2,1,2,3,2,3,2,2,2,3,3,2,algorithm
2022-C22103560098,first,scheduling-allocation,ok,heuristic-v1,41217,3,3,3,1,2,3,0,0,2,2,2,3,3,2,algorithm
2022-C22105930028,first,scheduling-allocation,ok,heuristic-v1,21450,3,3,2,1,2,3,2,0,2,2,0,3,1,2,algorithm
2022-C22106140003,first,scheduling-allocation,ok,heuristic-v1,33311,0,0,1,0,0,2,0,0,1,2,0,0,0,0,algorithm
2022-D22102930009,first,scheduling-allocation,ok,heuristic-v1,38358,3,3,2,2,3,3,0,0,2,1,0,1,1,2,algorithm
2022-D22103360092,first,scheduling-allocation,ok,heuristic-v1,30290,3,3,1,2,3,3,2,3,1,2,2,3,3,2,algorithm
2022-D22104760020,first,scheduling-allocation,ok,heuristic-v1,45665,3,3,2,2,2,3,2,2,2,2,2,3,3,2,algorithm
2022-D22900310001,first,scheduling-allocation,ok,heuristic-v1,24866,0,0,1,2,0,2,0,0,1,2,0,0,0,0,algorithm
2022-E22100160013,participation,policy-evaluation,ok,heuristic-v1,42854,3,3,3,2,2,3,2,0,2,2,2,3,3,2,algorithm
2022-E22103350038,first,policy-evaluation,ok,heuristic-v1,40732,3,3,3,2,3,3,3,3,2,2,2,3,3,2,algorithm
2022-E22104860014,first,policy-evaluation,ok,heuristic-v1,46362,3,3,1,2,3,3,3,0,2,2,2,3,3,2,unknown
2022-E22104870114,first,policy-evaluation,ok,heuristic-v1,40464,3,3,3,1,2,3,3,0,2,2,2,3,3,2,algorithm
2022-E22106110005,first,policy-evaluation,ok,heuristic-v1,35023,3,3,2,2,3,3,3,0,2,2,2,3,3,2,algorithm
2022-F22100090053,first,scheduling-allocation,ok,heuristic-v1,42489,1,1,3,1,2,3,2,0,1,2,2,3,3,2,algorithm
2022-F22103570053,first,scheduling-allocation,ok,heuristic-v1,30018,3,3,2,2,2,3,3,3,2,2,2,3,3,2,algorithm
2022-F22105330345,first,scheduling-allocation,garbled-extract,heuristic-v1,29703,1,0,0,0,0,1,0,0,1,2,0,1,0,0,unknown
2022-F22106150018,first,scheduling-allocation,ok,heuristic-v1,35602,3,3,2,1,2,3,0,0,2,2,2,1,3,2,algorithm
2023-A23100070049,first,communications-modeling,ok,heuristic-v1,47888,3,3,3,1,2,3,2,0,2,2,2,3,3,2,algorithm
2023-A23102480015,first,communications-modeling,garbled-extract,heuristic-v1,17924,0,0,0,0,0,1,0,0,1,2,0,0,0,0,unknown
2023-A23102890028,first,communications-modeling,ok,heuristic-v1,36762,3,3,2,1,2,3,2,0,2,2,2,3,3,2,algorithm
2023-A23104220005,first,communications-modeling,ok,heuristic-v1,37317,3,3,2,1,2,3,2,0,2,2,2,3,3,2,unknown
2023-B23103360062,first,numerical-approximation,ok,heuristic-v1,34160,3,3,2,1,3,3,3,0,1,2,0,3,1,0,unknown
2023-B23104860044,first,numerical-approximation,ok,heuristic-v1,42772,3,3,3,1,2,3,3,3,2,2,2,3,1,2,algorithm
2023-B23105580005,first,numerical-approximation,ok,heuristic-v1,26345,0,0,0,0,0,1,3,0,1,2,0,0,0,0,modeling
2023-B23111170006,first,numerical-approximation,ok,heuristic-v1,54281,3,3,2,1,2,3,3,3,2,2,2,3,3,2,algorithm
