record_id,year,edition,problem_letter,team_id,problem_title,paper_title,document_type,source_url,host,repository,commit_ref,filename,size_bytes,blob_sha,award_claim_raw,award_tier_normalized,verification_status,verification_secondary_url,match_key,corpus_layer,year_letter_stratum,archetype_tag,selection_rule,deep_review,license_notes
2022-A22100070190,2022,19,A,A22100070190,移动场景超分辨定位问题,移动场景超分辨定位问题,full-paper-pdf,https://github.com/zhanwen/MathModel/blob/master/%E5%9B%BD%E8%B5%9B%E8%AE%BA%E6%96%87/2022%E5%B9%B4%E4%BC%98%E7%A7%80%E8%AE%BA%E6%96%87/A/A22100070190.pdf,github.com,zhanwen/MathModel,master,A22100070190.pdf,2271011,4a5be81b64e70d92f00df51756acfa207fcaf046,一等奖,first,team-id-matched,https://github.com/lcpmgh/CPMCM-Awards/tree/master/awardlist,A22100070190,full-paper-core,2022-A,signal-inverse,census+stratified-4-per-year-letter-seed-20260829,yes,third-party mirror; do not redistribute; local cache only
2022-A22100130054,2022,19,A,A22100130054,移动场景超分辨定位问题,基于压缩感知的快速超分辨率雷达定位与追踪算法,full-paper-pdf,https://github.com/zhanwen/MathModel/blob/master/%E5%9B%BD%E8%B5%9B%E8%AE%BA%E6%96%87/2022%E5%B9%B4%E4%BC%98%E7%A7%80%E8%AE%BA%E6%96%87/A/A22100130054.pdf,github.com,zhanwen/MathModel,master,A22100130054.pdf,1458046,1b9066fecf8c64acf12e4a8eebc1dc589745aa24,一等奖,first,team-id-matched,https://github.com/lcpmgh/CPMCM-Awards/tree/master/awardlist,A22100130054,full-paper-core,2022-A,signal-inverse,census+stratified-4-per-year-letter-seed-20260829,yes,third-party mirror; do not redistribute; local cache only
2022-A22102460007,2022,19,A,A22102460007,移动场景超分辨定位问题,移动场景超分辨定位问题,full-paper-pdf,https://github.com/zhanwen/MathModel/blob/master/%E5%9B%BD%E8%B5%9B%E8%AE%BA%E6%96%87/2022%E5%B9%B4%E4%BC%98%E7%A7%80%E8%AE%BA%E6%96%87/A/A22102460007.pdf,github.com,zhanwen/MathModel,master,A22102460007.pdf,5244338,1121906f515841f58d9e2ccafc603e905878ce1a,一等奖,first,team-id-matched,https://github.com/lcpmgh/CPMCM-Awards/tree/master/awardlist,A22102460007,full-paper-core,2022-A,signal-inverse,census-of-github-folder-crosschecked-against-award-csv,no,third-party mirror; do not redistribute; local cache only
2022-A22103040090,2022,19,A,A22103040090,移动场景超分辨定位问题,移动场景超分辨定位问题,full-paper-pdf,https://github.com/zhanwen/MathModel/blob/master/%E5%9B%BD%E8%B5%9B%E8%AE%BA%E6%96%87/2022%E5%B9%B4%E4%BC%98%E7%A7%80%E8%AE%BA%E6%96%87/A/A22103040090.pdf,github.com,zhanwen/MathModel,master,A22103040090.pdf,10392119,e70d830174efd12a2d42cb3411e744d01ddb5a17,一等奖,first,team-id-matched,https://github.com/lcpmgh/CPMCM-Awards/tree/master/awardlist,A22103040090,full-paper-core,2022-A,signal-inverse,census-of-github-folder-crosschecked-against-award-csv,no,third-party mirror; do not redistribute; local cache only
2022-A22104860055,2022,19,A,A22104860055,移动场景超分辨定位问题,移动场景超分辨定位问题,full-paper-pdf,https://github.com/zhanwen/MathModel/blob/master/%E5%9B%BD%E8%B5%9B%E8%AE%BA%E6%96%87/2022%E5%B9%B4%E4%BC%98%E7%A7%80%E8%AE%BA%E6%96%87/A/A22104860055.pdf,github.com,zhanwen/MathModel,master,A22104860055.pdf,2550503,238daeab23348ff049cd98f04ac5c090002f8676,一等奖,first,team-id-matched,https://github.com/lcpmgh/CPMCM-Awards/tree/master/awardlist,A22104860055,full-paper-core,2022-A,signal-inverse,census-of-github-folder-crosschecked-against-award-csv,no,third-party mirror; do not redistribute; local cache only
2022-A22107010047,2022,19,A,A22107010047,移动场景超分辨定位问题,移动场景下MIMO 毫米波雷达超分辨定位问题求解,full-paper-pdf,https://github.com/zhanwen/MathModel/blob/master/%E5%9B%BD%E8%B5%9B%E8%AE%BA%E6%96%87/2022%E5%B9%B4%E4%BC%98%E7%A7%80%E8%AE%BA%E6%96%87/A/A22107010047.pdf,github.com,zhanwen/MathModel,master,A22107010047.pdf,3171608,8d95d6d51f927ade7a6bd0e48abfcfff93f364eb,一等奖,first,team-id-matched,https://github.com/lcpmgh/CPMCM-Awards/tree/master/awardlist,A22107010047,full-paper-core,2022-A,signal-inverse,census+stratified-4-per-year-letter-seed-20260829,yes,third-party mirror; do not redistribute; local cache only
2022-A22116460175,2022,19,A,A22116460175,移动场景超分辨定位问题,移动场景超分辨定位问题,full-paper-pdf,https://github.com/zhanwen/MathModel/blob/master/%E5%9B%BD%E8%B5%9B%E8%AE%BA%E6%96%87/2022%E5%B9%B4%E4%BC%98%E7%A7%80%E8%AE%BA%E6%96%87/A/A22116460175.pdf,github.com,zhanwen/MathModel,master,A22116460175.pdf,1181456,dcb8d6e7ee168a9e70f99b9f6af693fbaeb742ce,一等奖,first,team-id-matched,https://github.com/lcpmgh/CPMCM-Awards/tree/master/awardlist,A22116460175,full-paper-core,2022-A,signal-inverse,census+stratified-4-per-year-letter-seed-20260829,yes,third-party mirror; do not redistribute; local cache only
2022-B22100070171,2022,19,B,B22100070171,方形件组批优化问题,方形件组批优化问题,full-paper-pdf,https://github.com/zhanwen/MathModel/blob/master/%E5%9B%BD%E8%B5%9B%E8%AE%BA%E6%96%87/2022%E5%B9%B4%E4%BC%98%E7%A7%80%E8%AE%BA%E6%96%87/B/B22100070171.pdf,github.com,zhanwen/MathModel,master,B22100070171.pdf,6873926,5ed9f17d30d38b00c8fdd506b778a5c64835fdaf,一等奖,first,team-id-matched,https://github.com/lcpmgh/CPMCM-Awards/tree/master/awardlist,B22100070171,full-paper-core,2022-B,scheduling-allocation,census-of-github-folder-crosschecked-against-award-csv,no,third-party mirror; do not redistribute; local cache only
2022-B22102860210,2022,19,B,B22102860210,方形件组批优化问题,方形件组批优化问题,full-paper-pdf,https://github.com/zhanwen/MathModel/blob/master/%E5%9B%BD%E8%B5%9B%E8%AE%BA%E6%96%87/2022%E5%B9%B4%E4%BC%98%E7%A7%80%E8%AE%BA%E6%96%87/B/B22102860210.pdf,github.com,zhanwen/MathModel,master,B22102860210.pdf,16502595,7c15d8b0f3c0d9992ebefeb179cdbbf35658ee72,一等奖,first,team-id-matched,https://github.com/lcpmgh/CPMCM-Awards/tree/master/awardlist,B22102860210,full-paper-core,2022-B,scheduling-allocation,census-of-github-folder-crosschecked-against-award-csv,no,third-party mirror; do not redistribute; local cache only
2022-B22103360018,2022,19,B,B22103360018,方形件组批优化问题,基于整数规划的组批和下料优化问题研究,full-paper-pdf,https://github.com/zhanwen/MathModel/blob/master/%E5%9B%BD%E8%B5%9B%E8%AE%BA%E6%96%87/2022%E5%B9%B4%E4%BC%98%E7%A7%80%E8%AE%BA%E6%96%87/B/B22103360018.pdf,github.com,zhanwen/MathModel,master,B22103360018.pdf,2584063,fda8b1bc4e403e9e48de7465e31d7b66109fd680,一等奖,first,team-id-matched,https://github.com/lcpmgh/CPMCM-Awards/tree/master/awardlist,B22103360018,full-paper-core,2022-B,scheduling-allocation,census+stratified-4-per-year-letter-seed-20260829,yes,third-party mirror; do not redistribute; local cache only
2022-B22104870143,2022,19,B,B22104870143,方形件组批优化问题,基于整数规划的方形件排样和组批优化问题研究,full-paper-pdf,https://github.com/zhanwen/MathModel/blob/master/%E5%9B%BD%E8%B5%9B%E8%AE%BA%E6%96%87/2022%E5%B9%B4%E4%BC%98%E7%A7%80%E8%AE%BA%E6%96%87/B/B22104870143.pdf,github.com,zhanwen/MathModel,master,B22104870143.pdf,3181360,cb12ce5b39a3c674aed2ccf27629350a51bfdc79,一等奖,first,team-id-matched,https://github.com/lcpmgh/CPMCM-Awards/tree/master/awardlist,B22104870143,full-paper-core,2022-B,scheduling-allocation,census+stratified-4-per-year-letter-seed-20260829,yes,third-party mirror; do not redistribute; local cache only
